,condition,cf,concentration,prep
0,128,0.0200091552734375,0.8828125,FL
1,128,0.0215570068359375,0.8828125,FL
2,128,0.017315673828125,0.8828125,FL
3,128,0.0181658935546875,0.8828125,FL
4,128,0.0,0.8828125,FL
5,128,0.017326456705729167,0.8828125,FL
6,128,0.018459065755208334,0.8828125,FL
7,128,0.018174031575520833,0.8828125,FL
8,128,0.019955647786458332,0.8828125,FL
9,128,0.018210652669270834,0.8828125,FL
10,128,0.0,0.8828125,FL
11,16,0.03427449544270833,7.0625,FL
12,16,0.0,7.0625,FL
13,16,0.0,7.0625,FL
14,16,0.04385233561197917,7.0625,FL
15,16,0.0405291748046875,7.0625,FL
16,16,0.03997477213541667,7.0625,FL
17,16,0.04051737467447917,7.0625,FL
18,16,0.03870218912760417,7.0625,FL
19,16,0.03322977701822916,7.0625,FL
20,16,0.03647257486979167,7.0625,FL
21,32,0.0252593994140625,3.53125,FL
22,32,0.0,3.53125,FL
23,32,0.0,3.53125,FL
24,32,0.026947428385416666,3.53125,FL
25,32,0.027824300130208333,3.53125,FL
26,32,0.0,3.53125,FL
27,32,0.027186279296875,3.53125,FL
28,32,0.028724772135416667,3.53125,FL
29,32,0.0,3.53125,FL
30,32,0.0314508056640625,3.53125,FL
31,4,0.08083943684895833,28.25,FL
32,4,0.07799580891927084,28.25,FL
33,4,0.0,28.25,FL
34,4,0.0,28.25,FL
35,4,0.00546875,28.25,FL
36,4,0.07694295247395834,28.25,FL
37,4,0.0,28.25,FL
38,4,0.005815972222222222,28.25,FL
39,4,0.0,28.25,FL
40,4,0.084429931640625,28.25,FL
41,4,0.0,28.25,FL
42,64,0.021446940104166666,1.765625,FL
43,64,0.023817545572916668,1.765625,FL
44,64,0.026453653971354168,1.765625,FL
45,64,0.026970418294270833,1.765625,FL
46,64,0.022178548177083333,1.765625,FL
47,64,0.0,1.765625,FL
48,64,0.024211222330729167,1.765625,FL
49,64,0.0260589599609375,1.765625,FL
50,64,0.027108561197916665,1.765625,FL
51,64,0.028793131510416667,1.765625,FL
52,64,0.0,1.765625,FL
53,8,0.005815972222222222,14.125,FL
54,8,0.0045138888888888885,14.125,FL
55,8,0.004427083333333333,14.125,FL
56,8,0.0,14.125,FL
57,8,0.06420633951822917,14.125,FL
58,8,0.0,14.125,FL
59,8,0.0030381944444444445,14.125,FL
60,8,0.0,14.125,FL
61,8,0.00078125,14.125,FL
62,8,0.005208333333333333,14.125,FL
63,8,0.07089762369791666,14.125,FL
64,8,0.0013020833333333333,14.125,FL
